method,trial,evaluation,objective,c8_hit,c8_center_distance_px,furthest_mirror,furthest_camera
random,1,1,,False,,1,0
random,1,2,,False,,1,0
random,1,3,,False,,1,0
random,1,4,,False,,1,0
random,1,5,,False,,1,0
random,1,6,,False,,2,1
random,1,7,,False,,1,0
random,1,8,,False,,1,0
random,1,9,,False,,1,0
random,1,10,,False,,1,0
random,1,11,,False,,1,0
random,1,12,,False,,1,0
random,1,13,,False,,1,0
random,1,14,,False,,1,0
random,1,15,,False,,1,0
random,1,16,,False,,1,0
random,1,17,,False,,1,0
random,1,18,,False,,1,0
random,1,19,,False,,1,0
random,1,20,,False,,1,0
random,1,21,,False,,1,1
random,1,22,,False,,1,0
random,1,23,,False,,1,0
random,1,24,,False,,1,0
random,1,25,,False,,1,0
random,1,26,,False,,1,0
random,1,27,,False,,1,0
random,1,28,,False,,1,0
random,1,29,,False,,1,0
random,1,30,,False,,1,0
random,1,31,,False,,1,0
random,1,32,,False,,1,0
random,1,33,,False,,1,0
random,1,34,,False,,1,0
random,1,35,,False,,1,0
random,1,36,,False,,1,0
random,1,37,,False,,1,0
random,1,38,,False,,1,0
random,1,39,,False,,1,0
random,1,40,,False,,1,0
random,1,41,,False,,1,0
random,1,42,,False,,1,0
random,1,43,,False,,1,0
random,1,44,,False,,1,0
random,1,45,,False,,1,0
random,1,46,,False,,1,0
random,1,47,,False,,1,0
random,1,48,,False,,1,0
random,1,49,,False,,1,1
random,1,50,,False,,1,0
random,1,51,,False,,1,0
random,1,52,,False,,1,0
random,1,53,,False,,1,1
random,1,54,,False,,1,0
random,1,55,,False,,1,0
random,1,56,,False,,1,0
random,1,57,,False,,1,0
random,1,58,,False,,1,0
random,1,59,,False,,1,0
random,1,60,,False,,1,0
random,1,61,,False,,1,0
random,1,62,,False,,1,0
random,1,63,,False,,1,1
random,1,64,,False,,1,0
random,1,65,,False,,1,0
random,1,66,,False,,1,0
random,1,67,,False,,1,0
random,1,68,,False,,1,0
random,1,69,,False,,1,0
random,1,70,,False,,1,0
random,1,71,,False,,1,0
random,1,72,,False,,1,0
random,1,73,,False,,1,0
random,1,74,,False,,1,0
random,1,75,,False,,1,0
random,1,76,,False,,1,0
random,1,77,,False,,1,0
random,1,78,,False,,1,0
random,1,79,,False,,1,0
random,1,80,,False,,1,0
random,1,81,,False,,1,0
random,1,82,,False,,1,0
random,1,83,,False,,1,0
random,1,84,,False,,1,0
random,1,85,,False,,1,0
random,1,86,,False,,1,0
random,1,87,,False,,1,0
random,1,88,,False,,1,0
random,1,89,,False,,1,1
random,1,90,,False,,1,0
random,1,91,,False,,1,0
random,1,92,,False,,1,0
random,1,93,,False,,1,0
random,1,94,,False,,1,0
random,1,95,,False,,1,0
random,1,96,,False,,1,0
random,1,97,,False,,1,0
random,1,98,,False,,1,1
random,1,99,,False,,1,0
random,1,100,,False,,1,0
random,2,1,,False,,1,0
random,2,2,,False,,1,0
random,2,3,,False,,1,0
random,2,4,,False,,1,1
random,2,5,,False,,1,0
random,2,6,,False,,1,0
random,2,7,,False,,1,0
random,2,8,,False,,1,0
random,2,9,,False,,1,0
random,2,10,,False,,1,0
random,2,11,,False,,1,0
random,2,12,,False,,1,0
random,2,13,,False,,1,0
random,2,14,,False,,1,0
random,2,15,,False,,1,0
random,2,16,,False,,1,0
random,2,17,,False,,1,0
random,2,18,,False,,1,0
random,2,19,,False,,1,0
random,2,20,,False,,1,0
random,2,21,,False,,1,0
random,2,22,,False,,1,1
random,2,23,,False,,1,0
random,2,24,,False,,1,0
random,2,25,,False,,1,0
random,2,26,,False,,1,0
random,2,27,,False,,1,0
random,2,28,,False,,1,0
random,2,29,,False,,1,0
random,2,30,,False,,1,0
random,2,31,,False,,1,0
random,2,32,,False,,1,0
random,2,33,,False,,1,0
random,2,34,,False,,1,0
random,2,35,,False,,1,0
random,2,36,,False,,1,0
random,2,37,,False,,1,0
random,2,38,,False,,1,0
random,2,39,,False,,1,0
random,2,40,,False,,1,0
random,2,41,,False,,1,0
random,2,42,,False,,1,0
random,2,43,,False,,1,0
random,2,44,,False,,1,0
random,2,45,,False,,1,0
random,2,46,,False,,1,0
random,2,47,,False,,1,0
random,2,48,,False,,1,0
random,2,49,,False,,1,0
random,2,50,,False,,1,0
random,2,51,,False,,1,0
random,2,52,,False,,1,0
random,2,53,,False,,1,0
random,2,54,,False,,1,0
random,2,55,,False,,1,0
random,2,56,,False,,1,0
random,2,57,,False,,1,0
random,2,58,,False,,1,0
random,2,59,,False,,1,0
random,2,60,,False,,1,0
random,2,61,,False,,1,0
random,2,62,,False,,2,1
random,2,63,,False,,1,0
random,2,64,,False,,1,0
random,2,65,,False,,1,0
random,2,66,,False,,1,0
random,2,67,,False,,1,0
random,2,68,,False,,1,0
random,2,69,,False,,1,0
random,2,70,,False,,1,0
random,2,71,,False,,1,0
random,2,72,,False,,1,0
random,2,73,,False,,1,0
