method,trial,evaluations,furthest_mirror,furthest_camera,c8_hits,best_objective
random,1,100,2,1,0,
random,2,100,2,1,0,
random,3,100,2,3,0,
random,4,100,2,1,0,
random,5,100,2,3,0,
random,6,100,1,1,0,
random,7,100,3,1,0,
random,8,100,2,1,0,
random,9,100,2,3,0,
random,10,100,2,3,0,
bayes,1,101,2,1,0,-1000000.0
bayes,2,101,2,3,0,-1000000.0
bayes,3,101,2,3,0,-1000000.0
bayes,4,101,2,2,0,-1000000.0
bayes,5,101,2,2,0,-1000000.0
bayes,6,101,2,2,0,-1000000.0
bayes,7,101,2,2,0,-1000000.0
bayes,8,101,3,3,0,-1000000.0
bayes,9,101,2,3,0,-1000000.0
bayes,10,101,2,2,0,-1000000.0
