iteration,repeat_count,carried_forward_count,center_error_mean,center_error_std,model_key,model_label
0,10,0,1782.4812159545338,578.5474800071695,gpt_5_6_sol,GPT-5.6 SOL
1,10,0,1824.0783073632338,538.9083289791771,gpt_5_6_sol,GPT-5.6 SOL
2,10,0,1654.629585384327,554.704621499253,gpt_5_6_sol,GPT-5.6 SOL
3,10,0,1505.1834700572374,480.4223463195891,gpt_5_6_sol,GPT-5.6 SOL
4,10,0,1314.741819469738,493.89331187664015,gpt_5_6_sol,GPT-5.6 SOL
5,10,0,1233.1268674207981,424.8926007680507,gpt_5_6_sol,GPT-5.6 SOL
6,10,0,1025.810592869148,363.0975171549727,gpt_5_6_sol,GPT-5.6 SOL
7,10,0,941.139980584582,382.5969420462904,gpt_5_6_sol,GPT-5.6 SOL
8,10,0,792.2464906469608,451.711678200865,gpt_5_6_sol,GPT-5.6 SOL
9,10,0,876.0116502255581,578.7781769790294,gpt_5_6_sol,GPT-5.6 SOL
10,10,0,594.6447517316815,476.060195727722,gpt_5_6_sol,GPT-5.6 SOL
11,10,0,434.50082363261,412.83436652228477,gpt_5_6_sol,GPT-5.6 SOL
12,10,0,350.4249028529521,267.3485401684084,gpt_5_6_sol,GPT-5.6 SOL
13,10,0,545.2266286307237,641.7604014107817,gpt_5_6_sol,GPT-5.6 SOL
14,10,0,208.21491783180926,229.94907213565241,gpt_5_6_sol,GPT-5.6 SOL
15,10,0,246.90670728883384,171.68213966211033,gpt_5_6_sol,GPT-5.6 SOL
16,10,0,156.1460258062883,180.61001612794777,gpt_5_6_sol,GPT-5.6 SOL
17,10,2,195.94734795351738,137.77868792217217,gpt_5_6_sol,GPT-5.6 SOL
18,10,3,134.14337002445967,105.75465360616619,gpt_5_6_sol,GPT-5.6 SOL
19,10,3,127.7489063089934,119.39442589180986,gpt_5_6_sol,GPT-5.6 SOL
20,10,6,100.55057605166476,71.24111227621748,gpt_5_6_sol,GPT-5.6 SOL
21,10,7,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
22,10,8,123.67875312293309,109.47590769371341,gpt_5_6_sol,GPT-5.6 SOL
23,10,8,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
24,10,8,109.26604550177555,120.65637613635408,gpt_5_6_sol,GPT-5.6 SOL
25,10,9,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
26,10,9,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
27,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
28,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
29,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
30,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
31,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
32,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
33,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
34,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
35,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
36,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
37,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
38,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
39,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
40,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
41,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
42,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
43,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
44,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
45,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
46,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
47,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
48,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
49,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
50,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
51,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
52,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
53,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
54,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
55,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
56,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
57,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
58,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
59,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
60,10,10,75.51417967869021,35.15085064304687,gpt_5_6_sol,GPT-5.6 SOL
0,10,0,1782.4812159545338,578.5474800071695,gemini_3_5_flash,Gemini 3.5 Flash
1,10,0,1833.2591206886239,544.2036119835872,gemini_3_5_flash,Gemini 3.5 Flash
2,10,0,1846.4568129435538,681.2195981498601,gemini_3_5_flash,Gemini 3.5 Flash
3,10,0,1648.3834089064744,610.0614257763235,gemini_3_5_flash,Gemini 3.5 Flash
4,10,0,1384.0087893619984,452.80988500251215,gemini_3_5_flash,Gemini 3.5 Flash
5,10,0,1398.0022280090384,375.2154940846952,gemini_3_5_flash,Gemini 3.5 Flash
6,10,0,1268.3193257615812,392.18769165471286,gemini_3_5_flash,Gemini 3.5 Flash
7,10,0,993.8601109188828,490.9718409907571,gemini_3_5_flash,Gemini 3.5 Flash
8,10,0,888.719083325212,608.9711545357981,gemini_3_5_flash,Gemini 3.5 Flash
9,10,0,699.7125680335648,469.88357646894246,gemini_3_5_flash,Gemini 3.5 Flash
10,10,0,693.2182059348837,643.7135500015514,gemini_3_5_flash,Gemini 3.5 Flash
11,10,0,337.418642594262,242.83155173031656,gemini_3_5_flash,Gemini 3.5 Flash
12,10,0,326.27940408275595,178.2108390137022,gemini_3_5_flash,Gemini 3.5 Flash
13,10,0,413.28824158527067,320.42731483018,gemini_3_5_flash,Gemini 3.5 Flash
14,10,0,332.17886344593194,205.65757830821647,gemini_3_5_flash,Gemini 3.5 Flash
15,10,2,170.29542640928594,119.68662082519991,gemini_3_5_flash,Gemini 3.5 Flash
16,10,5,306.53912741797456,196.25136916794528,gemini_3_5_flash,Gemini 3.5 Flash
17,10,5,201.65559603557116,156.42838319344065,gemini_3_5_flash,Gemini 3.5 Flash
18,10,6,184.57946469413895,129.8757600187168,gemini_3_5_flash,Gemini 3.5 Flash
19,10,7,185.87238631883116,127.3922250630104,gemini_3_5_flash,Gemini 3.5 Flash
20,10,9,182.3338302424483,122.73901378410262,gemini_3_5_flash,Gemini 3.5 Flash
21,10,9,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
22,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
23,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
24,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
25,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
26,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
27,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
28,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
29,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
30,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
31,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
32,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
33,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
34,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
35,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
36,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
37,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
38,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
39,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
40,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
41,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
42,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
43,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
44,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
45,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
46,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
47,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
48,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
49,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
50,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
51,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
52,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
53,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
54,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
55,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
56,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
57,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
58,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
59,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
60,10,10,161.0836561109865,115.51119719995818,gemini_3_5_flash,Gemini 3.5 Flash
0,10,0,1782.4812159545338,578.5474800071695,claude_sonnet_5,Claude Sonnet 5
1,10,0,1811.9422420243634,551.9107139498456,claude_sonnet_5,Claude Sonnet 5
2,10,0,1747.5525343803463,564.050248630647,claude_sonnet_5,Claude Sonnet 5
3,10,0,1713.4371820606934,566.7248500030131,claude_sonnet_5,Claude Sonnet 5
4,10,0,1622.7658103719018,689.8092292095333,claude_sonnet_5,Claude Sonnet 5
5,10,0,1910.643417224222,994.8294097473236,claude_sonnet_5,Claude Sonnet 5
6,10,0,1633.739043790092,986.4329178903129,claude_sonnet_5,Claude Sonnet 5
7,10,0,1307.5926797702894,387.88974469699775,claude_sonnet_5,Claude Sonnet 5
8,10,0,1306.4908077108435,592.7645001519966,claude_sonnet_5,Claude Sonnet 5
9,10,0,1439.15838940582,776.7145476995054,claude_sonnet_5,Claude Sonnet 5
10,10,0,1440.8987540493351,643.7866234937768,claude_sonnet_5,Claude Sonnet 5
11,10,0,1340.6749357066765,464.27050638600184,claude_sonnet_5,Claude Sonnet 5
12,10,0,1190.110354162239,812.7020352931441,claude_sonnet_5,Claude Sonnet 5
13,10,0,1144.0804516435098,809.5858193728496,claude_sonnet_5,Claude Sonnet 5
14,10,0,1507.3407240419515,839.2112528665859,claude_sonnet_5,Claude Sonnet 5
15,10,0,1260.1442781157727,716.5785528212925,claude_sonnet_5,Claude Sonnet 5
16,10,0,1254.3258114155856,994.5266563474138,claude_sonnet_5,Claude Sonnet 5
17,10,0,995.0158399345773,698.1650842866231,claude_sonnet_5,Claude Sonnet 5
18,10,0,1184.4050528663624,1096.7537733299496,claude_sonnet_5,Claude Sonnet 5
19,10,0,1309.3635015914083,1049.6954637278568,claude_sonnet_5,Claude Sonnet 5
20,10,0,899.5875258793913,902.8462694072615,claude_sonnet_5,Claude Sonnet 5
21,10,0,897.6786209133104,815.7220633998306,claude_sonnet_5,Claude Sonnet 5
22,10,0,803.094506006414,986.842273241859,claude_sonnet_5,Claude Sonnet 5
23,10,1,689.0739825569943,755.1243922134306,claude_sonnet_5,Claude Sonnet 5
24,10,4,620.8574402373589,712.8314502122182,claude_sonnet_5,Claude Sonnet 5
25,10,4,395.53699880182785,437.43803920303895,claude_sonnet_5,Claude Sonnet 5
26,10,4,526.1487176984291,620.9221426718934,claude_sonnet_5,Claude Sonnet 5
27,10,5,507.6221723620107,578.2374186488809,claude_sonnet_5,Claude Sonnet 5
28,10,5,528.1903813151378,577.1570119799406,claude_sonnet_5,Claude Sonnet 5
29,10,5,443.3762876968556,575.3672950068269,claude_sonnet_5,Claude Sonnet 5
30,10,6,456.6348972183845,514.8305005693372,claude_sonnet_5,Claude Sonnet 5
31,10,7,301.7809305092934,402.2861890488218,claude_sonnet_5,Claude Sonnet 5
32,10,7,304.8026643188126,353.826959289344,claude_sonnet_5,Claude Sonnet 5
33,10,7,269.0135111638151,344.1753174804508,claude_sonnet_5,Claude Sonnet 5
34,10,8,211.98566106961871,118.44814722562448,claude_sonnet_5,Claude Sonnet 5
35,10,8,170.90701541964484,87.54903090549315,claude_sonnet_5,Claude Sonnet 5
36,10,8,168.30087760035957,85.71130264933825,claude_sonnet_5,Claude Sonnet 5
37,10,9,168.16874874926728,85.63820743839558,claude_sonnet_5,Claude Sonnet 5
38,10,9,182.38420365185328,103.36068124006843,claude_sonnet_5,Claude Sonnet 5
39,10,9,208.58616803008303,165.67271018044235,claude_sonnet_5,Claude Sonnet 5
40,10,9,193.6077994998811,127.21311000497413,claude_sonnet_5,Claude Sonnet 5
41,10,9,186.80147139382396,112.01477533655653,claude_sonnet_5,Claude Sonnet 5
42,10,9,182.38420365185328,103.36068124006843,claude_sonnet_5,Claude Sonnet 5
43,10,9,242.37615628669246,263.3202512163664,claude_sonnet_5,Claude Sonnet 5
44,10,9,182.38420365185328,103.36068124006843,claude_sonnet_5,Claude Sonnet 5
45,10,9,182.68901047806446,103.92068863266167,claude_sonnet_5,Claude Sonnet 5
46,10,9,182.38420365185328,103.36068124006843,claude_sonnet_5,Claude Sonnet 5
47,10,9,206.27846991790466,159.43517223156087,claude_sonnet_5,Claude Sonnet 5
48,10,9,182.38420365185328,103.36068124006843,claude_sonnet_5,Claude Sonnet 5
49,10,9,198.4066959665725,138.93745238126218,claude_sonnet_5,Claude Sonnet 5
50,10,9,182.38420365185328,103.36068124006843,claude_sonnet_5,Claude Sonnet 5
51,10,9,182.38420365185328,103.36068124006843,claude_sonnet_5,Claude Sonnet 5
52,10,10,182.38420365185328,103.36068124006843,claude_sonnet_5,Claude Sonnet 5
53,10,10,182.38420365185328,103.36068124006843,claude_sonnet_5,Claude Sonnet 5
54,10,10,182.38420365185328,103.36068124006843,claude_sonnet_5,Claude Sonnet 5
55,10,10,182.38420365185328,103.36068124006843,claude_sonnet_5,Claude Sonnet 5
56,10,10,182.38420365185328,103.36068124006843,claude_sonnet_5,Claude Sonnet 5
57,10,10,182.38420365185328,103.36068124006843,claude_sonnet_5,Claude Sonnet 5
58,10,10,182.38420365185328,103.36068124006843,claude_sonnet_5,Claude Sonnet 5
59,10,10,182.38420365185328,103.36068124006843,claude_sonnet_5,Claude Sonnet 5
60,10,10,182.38420365185328,103.36068124006843,claude_sonnet_5,Claude Sonnet 5
