repeat_index,seed,completion_step,max_iterations,initial_legacy_normalized_rms_error,final_legacy_normalized_rms_error,initial_center_error,final_center_error,center_improvement,cost_dollars,run_wall_time_seconds,motor_configurations_seen,llm_responses,model_key,model_label
0,20260422,17,60,1.005844930963315,0.02217836348101706,1620.7150559954848,36.09544336238291,1584.619612633102,0.590024,310.7758159004152,18,17,gpt_5_6_sol,GPT-5.6 SOL
1,20270395,16,60,0.795061926940027,0.057721200263373275,870.0757477554594,70.18468218766797,799.8910655677914,0.58214,297.01733429916203,17,16,gpt_5_6_sol,GPT-5.6 SOL
2,20280368,20,60,1.3046541134769998,0.03675490610034258,2111.990620413575,58.614396436085286,2053.3762239774896,0.7143242500000001,364.25714279990643,21,20,gpt_5_6_sol,GPT-5.6 SOL
3,20290341,24,60,1.4167901729145367,0.04205380782825868,2356.9401553612493,58.23316237918406,2298.706992982065,0.9244412500000001,458.3105702996254,25,24,gpt_5_6_sol,GPT-5.6 SOL
4,20300314,26,60,1.6350551467598722,0.08771498796102509,2563.6611658105694,101.25268124088281,2462.4084845696866,0.9753782500000001,445.17008670046926,27,26,gpt_5_6_sol,GPT-5.6 SOL
5,20310287,21,60,1.3951695191278657,0.03810998328155702,1488.6688175918,64.08728727707053,1424.5815303147294,0.70229725,324.9377077007666,22,21,gpt_5_6_sol,GPT-5.6 SOL
6,20320260,19,60,1.568485331913493,0.07716067030109244,2204.637915240414,142.1580995085696,2062.479815731844,0.6640915000000001,329.1128793992102,20,19,gpt_5_6_sol,GPT-5.6 SOL
7,20330233,16,60,0.7624114954576688,0.05890164086677798,1205.4148976836639,100.32968650918174,1105.085211174482,0.5511692499999999,290.8899062993005,17,16,gpt_5_6_sol,GPT-5.6 SOL
8,20340206,19,60,1.3382607437378216,0.01416501421392,2198.4807321237095,25.057710295539103,2173.4230218281705,0.6452977499999999,337.28527130000293,20,19,gpt_5_6_sol,GPT-5.6 SOL
9,20350179,19,60,0.9827877661045724,0.05339515429781267,1204.2270515694147,99.12864759033812,1105.0984039790765,0.6762035,321.51383660081774,20,19,gpt_5_6_sol,GPT-5.6 SOL
0,20260422,14,60,1.005844930963315,0.07001981295110137,1620.7150559954848,94.11315823092067,1526.6018977645642,0.25026660000000006,213.92004249989986,15,14,gemini_3_5_flash,Gemini 3.5 Flash
1,20270395,14,60,0.795061926940027,0.10296047118098822,870.0757477554594,108.89819603000035,761.177551725459,0.3367038,247.06455799937248,15,14,gemini_3_5_flash,Gemini 3.5 Flash
2,20280368,18,60,1.3046541134769998,0.1308301479918418,2111.990620413575,186.153171972253,1925.837448441322,0.3678526500000001,306.9913073005155,19,18,gemini_3_5_flash,Gemini 3.5 Flash
3,20290341,15,60,1.4167901729145367,0.132107540864683,2356.9401553612493,133.5595983700507,2223.3805569911983,0.36573149999999993,291.6591901993379,16,15,gemini_3_5_flash,Gemini 3.5 Flash
4,20300314,19,60,1.6350551467598722,0.14163116603053666,2563.6611658105694,161.37916301433003,2402.2820027962393,0.36664290000000005,286.22051270026714,20,19,gemini_3_5_flash,Gemini 3.5 Flash
5,20310287,19,60,1.3951695191278657,0.09916332744536215,1488.6688175918,184.51657214908732,1304.1522454427127,0.3814362,314.8770195003599,20,19,gemini_3_5_flash,Gemini 3.5 Flash
6,20320260,21,60,1.568485331913493,0.06798166622457444,2204.637915240414,101.92406648859765,2102.713848751816,0.39126285,353.9653521999717,22,21,gemini_3_5_flash,Gemini 3.5 Flash
7,20330233,15,60,0.7624114954576688,0.07980239847689764,1205.4148976836639,107.33098574237128,1098.0839119412926,0.24514844999999996,202.7860972005874,16,15,gemini_3_5_flash,Gemini 3.5 Flash
