iteration,repeat_count,carried_forward_count,center_error_mean,center_error_std,method_key,method_label,method_kind
0,10,0,1.1915590070165922,0.30504511377716137,gpt_5_6_sol,GPT-5.6 SOL,llm
1,10,0,1.1962881102031653,0.30908240503568535,gpt_5_6_sol,GPT-5.6 SOL,llm
2,10,0,1.1341098069442355,0.2981806972308039,gpt_5_6_sol,GPT-5.6 SOL,llm
3,10,0,1.165847419893963,0.3085695557843771,gpt_5_6_sol,GPT-5.6 SOL,llm
4,10,0,0.9710520469687716,0.299711362694068,gpt_5_6_sol,GPT-5.6 SOL,llm
5,10,0,0.9322991728744983,0.2515188799335971,gpt_5_6_sol,GPT-5.6 SOL,llm
6,10,0,0.8696715264737687,0.2612057943743894,gpt_5_6_sol,GPT-5.6 SOL,llm
7,10,0,0.8040755711909195,0.21340222957470595,gpt_5_6_sol,GPT-5.6 SOL,llm
8,10,0,0.7599782458867348,0.35272050778079905,gpt_5_6_sol,GPT-5.6 SOL,llm
9,10,0,0.6088862749649693,0.30443556976728353,gpt_5_6_sol,GPT-5.6 SOL,llm
10,10,0,0.5540837702557428,0.26792644776400315,gpt_5_6_sol,GPT-5.6 SOL,llm
11,10,0,0.5979024017065935,0.3182649419915574,gpt_5_6_sol,GPT-5.6 SOL,llm
12,10,0,0.4942119536464424,0.3446743711834395,gpt_5_6_sol,GPT-5.6 SOL,llm
13,10,0,0.3318487076366622,0.22162565197434558,gpt_5_6_sol,GPT-5.6 SOL,llm
14,10,0,0.3257828545637736,0.2120219383324816,gpt_5_6_sol,GPT-5.6 SOL,llm
15,10,0,0.3178946807130997,0.23085224523586237,gpt_5_6_sol,GPT-5.6 SOL,llm
16,10,0,0.2515774626929125,0.20919062072208072,gpt_5_6_sol,GPT-5.6 SOL,llm
17,10,0,0.27843557579535017,0.22256577438656247,gpt_5_6_sol,GPT-5.6 SOL,llm
18,10,0,0.10330393556898518,0.1169284003531846,gpt_5_6_sol,GPT-5.6 SOL,llm
19,10,1,0.14792911354559526,0.13163065562813311,gpt_5_6_sol,GPT-5.6 SOL,llm
20,10,3,0.12497516973985619,0.13620079677050798,gpt_5_6_sol,GPT-5.6 SOL,llm
21,10,3,0.14026790065269798,0.14628148265528834,gpt_5_6_sol,GPT-5.6 SOL,llm
22,10,4,0.07253282338466067,0.10240328518458934,gpt_5_6_sol,GPT-5.6 SOL,llm
23,10,5,0.054201837812605666,0.051177592123911785,gpt_5_6_sol,GPT-5.6 SOL,llm
24,10,8,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
25,10,9,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
26,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
27,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
28,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
29,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
30,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
31,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
32,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
33,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
34,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
35,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
36,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
37,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
38,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
39,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
40,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
41,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
42,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
43,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
44,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
45,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
46,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
47,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
48,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
49,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
50,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
51,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
52,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
53,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
54,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
55,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
56,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
57,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
58,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
59,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
60,10,10,0.039177429709002703,0.023113813468074097,gpt_5_6_sol,GPT-5.6 SOL,llm
0,10,0,1.1915590070165922,0.30504511377716137,gemini_3_5_flash,Gemini 3.5 Flash,llm
1,10,0,1.1862155741579279,0.2825928024979878,gemini_3_5_flash,Gemini 3.5 Flash,llm
2,10,0,1.1845649120142894,0.2833168240270291,gemini_3_5_flash,Gemini 3.5 Flash,llm
3,10,0,1.0928142699354548,0.3180355459221891,gemini_3_5_flash,Gemini 3.5 Flash,llm
4,10,0,1.0471248936507715,0.2659067526200536,gemini_3_5_flash,Gemini 3.5 Flash,llm
5,10,0,1.1375793672370267,0.32459735207733026,gemini_3_5_flash,Gemini 3.5 Flash,llm
6,10,0,1.0708315617069548,0.3743677915527217,gemini_3_5_flash,Gemini 3.5 Flash,llm
7,10,0,1.0356826290314167,0.35092395313588737,gemini_3_5_flash,Gemini 3.5 Flash,llm
8,10,0,1.1449514796365359,0.5872994293517456,gemini_3_5_flash,Gemini 3.5 Flash,llm
9,10,0,0.7814153243277255,0.4756887571136994,gemini_3_5_flash,Gemini 3.5 Flash,llm
10,10,0,0.7299081566763698,0.4202688108223054,gemini_3_5_flash,Gemini 3.5 Flash,llm
11,10,0,0.5033560355041583,0.458467023481928,gemini_3_5_flash,Gemini 3.5 Flash,llm
12,10,0,0.6197330614444241,0.42723364337078557,gemini_3_5_flash,Gemini 3.5 Flash,llm
13,10,0,0.5303359093375553,0.39198687772405866,gemini_3_5_flash,Gemini 3.5 Flash,llm
14,10,0,0.42167403863639735,0.24315356301304394,gemini_3_5_flash,Gemini 3.5 Flash,llm
