repeat_index,seed,max_iterations,completion_step,initial_center_error,final_center_error,center_improvement,cost_dollars,run_wall_time_seconds,motor_configurations_seen,llm_responses,method_key,method_label,method_kind
0,20260422,60,19,0.9826985040814875,0.017358493607613493,0.965340010473874,0.6210942499999998,247.857027084101,20,19,gpt_5_6_sol,GPT-5.6 SOL,llm
1,20270395,60,19,0.7746487613826347,0.04374895851469926,0.7308998028679354,0.661462,268.28089779103175,20,19,gpt_5_6_sol,GPT-5.6 SOL,llm
2,20280368,60,25,1.2752404539869087,0.03401290867115959,1.241227545315749,0.75921575,326.8700972092338,26,25,gpt_5_6_sol,GPT-5.6 SOL,llm
3,20290341,60,22,1.3848098940172309,0.04198441062408723,1.3428254833931437,0.6924842500000001,240.46489191707224,23,22,gpt_5_6_sol,GPT-5.6 SOL,llm
4,20300314,60,23,1.5969299473997232,0.09690254310578401,1.5000274042939392,0.68738875,215.4230000837706,24,23,gpt_5_6_sol,GPT-5.6 SOL,llm
5,20310287,60,23,1.3595778054288776,0.04143140301214392,1.3181464024167338,0.78605675,280.08549749990925,24,23,gpt_5_6_sol,GPT-5.6 SOL,llm
6,20320260,60,23,1.5312637263370255,0.013818882302970776,1.5174448440340547,0.7962597500000002,310.57522645778954,24,23,gpt_5_6_sol,GPT-5.6 SOL,llm
7,20330233,60,24,0.7447113635035006,0.02334378978271867,0.721367573720782,0.7948702500000002,287.10337375011295,25,24,gpt_5_6_sol,GPT-5.6 SOL,llm
8,20340206,60,18,1.3077361174719964,0.03482434830625278,1.2729117691657437,0.5674797500000001,194.91502329194918,19,18,gpt_5_6_sol,GPT-5.6 SOL,llm
9,20350179,60,21,0.957973496556538,0.04434855916259733,0.9136249373939407,0.6848527499999999,233.24408974964172,22,21,gpt_5_6_sol,GPT-5.6 SOL,llm
0,20260422,60,18,0.9826985040814875,0.08257093520726345,0.9001275688742241,0.27350909999999995,141.07427445799112,19,18,gemini_3_5_flash,Gemini 3.5 Flash,llm
1,20270395,60,20,0.7746487613826347,0.11717079734293798,0.6574779640396967,0.28632255,145.5218616668135,21,20,gemini_3_5_flash,Gemini 3.5 Flash,llm
2,20280368,60,19,1.2752404539869087,0.13119369798440247,1.1440467560025063,0.27648285,136.5536237922497,20,19,gemini_3_5_flash,Gemini 3.5 Flash,llm
3,20290341,60,18,1.3848098940172309,0.12122319062630252,1.2635867033909283,0.2696544,127.94252520799637,19,18,gemini_3_5_flash,Gemini 3.5 Flash,llm
4,20300314,60,21,1.5969299473997232,0.1650293968681453,1.4319005505315778,0.28783184999999994,142.49748737504706,22,21,gemini_3_5_flash,Gemini 3.5 Flash,llm
5,20310287,60,20,1.3595778054288776,0.08280320780737112,1.2767745976215066,0.26972684999999996,145.22497620806098,21,20,gemini_3_5_flash,Gemini 3.5 Flash,llm
6,20320260,60,20,1.5312637263370255,0.05627036190535106,1.4749933644316744,0.32164995,147.72236354229972,21,20,gemini_3_5_flash,Gemini 3.5 Flash,llm
7,20330233,60,17,0.7447113635035006,0.2721444276666115,0.47256693583688913,0.26174805,134.79792166687548,18,17,gemini_3_5_flash,Gemini 3.5 Flash,llm
8,20340206,60,24,1.3077361174719964,0.15913584899403405,1.1486002684779624,0.5999061,230.98894029203802,25,24,gemini_3_5_flash,Gemini 3.5 Flash,llm
9,20350179,60,19,0.957973496556538,0.14730570668333398,0.810667789873204,0.31643625000000003,163.43997470801696,20,19,gemini_3_5_flash,Gemini 3.5 Flash,llm
0,20260422,60,45,0.9826985040814875,0.08574225555711591,0.8969562485243716,5.396597999999999,866.2192620411515,46,45,claude_sonnet_5,Claude Sonnet 5,llm
1,20270395,60,18,0.7746487613826347,0.12887155056534869,0.645777210817286,1.046044,337.48236562497914,19,18,claude_sonnet_5,Claude Sonnet 5,llm
2,20280368,60,38,1.2752404539869087,0.031047429396866142,1.2441930245900426,2.7421279999999997,449.8502876246348,39,38,claude_sonnet_5,Claude Sonnet 5,llm
3,20290341,60,40,1.3848098940172309,0.11542807290221242,1.2693818211150185,3.966925999999999,669.5434093750082,41,40,claude_sonnet_5,Claude Sonnet 5,llm
4,20300314,60,23,1.5969299473997232,0.09812034438705738,1.4988096030126659,1.4974239999999999,362.70780595811084,24,23,claude_sonnet_5,Claude Sonnet 5,llm
5,20310287,60,43,1.3595778054288776,0.022118597351709807,1.337459208077168,4.099857999999999,613.6551422500052,44,43,claude_sonnet_5,Claude Sonnet 5,llm
6,20320260,60,51,1.5312637263370255,0.04543203143236975,1.4858316949046557,6.090040000000001,927.9814407499507,52,51,claude_sonnet_5,Claude Sonnet 5,llm
7,20330233,60,26,0.7447113635035006,0.024476810399035015,0.7202345531044656,1.749354,423.3172001661733,27,26,claude_sonnet_5,Claude Sonnet 5,llm
8,20340206,60,22,1.3077361174719964,0.0654669761366823,1.242269141335314,1.9116379999999997,458.1227150000632,23,22,claude_sonnet_5,Claude Sonnet 5,llm
9,20350179,60,23,0.957973496556538,0.029271105826243177,0.9287023907302948,1.4804279999999999,358.9868116248399,24,23,claude_sonnet_5,Claude Sonnet 5,llm
0,20260422,60,,0.9826985040814875,0.037200582652553126,0.9454979214289344,,21.348374124994734,61,,bayes,Bayesian optimization,oracle
1,20270395,60,,0.7746487613826347,0.05673743784554382,0.7179113235370909,,16.927231542009395,61,,bayes,Bayesian optimization,oracle
2,20280368,60,,1.2752404539869087,0.06341742707161108,1.2118230269152976,,21.008617249986855,61,,bayes,Bayesian optimization,oracle
3,20290341,60,,1.3848098940172309,0.05732066772304242,1.3274892262941884,,19.701251540973317,61,,bayes,Bayesian optimization,oracle
4,20300314,60,,1.5969299473997232,0.0583424930596662,1.538587454340057,,21.071739042003173,61,,bayes,Bayesian optimization,oracle
5,20310287,60,,1.3595778054288776,0.054529884648117484,1.3050479207807602,,20.596330041997135,61,,bayes,Bayesian optimization,oracle
6,20320260,60,,1.5312637263370255,0.09608927487263383,1.4351744514643916,,17.7446857909963,61,,bayes,Bayesian optimization,oracle
7,20330233,60,,0.7447113635035006,0.050887226402412784,0.6938241371010878,,20.478428208007244,61,,bayes,Bayesian optimization,oracle
8,20340206,60,,1.3077361174719964,0.08711491455075708,1.2206212029212393,,18.999716999998782,61,,bayes,Bayesian optimization,oracle
9,20350179,60,,0.957973496556538,0.12852694660410205,0.8294465499524359,,20.606764166004723,61,,bayes,Bayesian optimization,oracle
0,20260422,60,,0.9826985040814875,0.7813426812851634,0.20135582279632414,,4.0995803331024945,61,,random,Random search,oracle
1,20270395,60,,0.7746487613826347,0.5279663642031415,0.24668239717949325,,3.2192901247181,61,,random,Random search,oracle
2,20280368,60,,1.2752404539869087,0.47138017996735265,0.803860274019556,,3.13547445833683,61,,random,Random search,oracle
3,20290341,60,,1.3848098940172309,0.915969509673133,0.4688403843440979,,3.3366472087800503,61,,random,Random search,oracle
4,20300314,60,,1.5969299473997232,0.914863812607801,0.6820661347919221,,3.1217462909407914,61,,random,Random search,oracle
5,20310287,60,,1.3595778054288776,0.8568261019319752,0.5027517034969025,,3.2045658747665584,61,,random,Random search,oracle
6,20320260,60,,1.5312637263370255,0.6555827674520619,0.8756809588849636,,3.737599332816899,61,,random,Random search,oracle
7,20330233,60,,0.7447113635035006,0.7447113635035006,0.0,,3.1803051251918077,61,,random,Random search,oracle
8,20340206,60,,1.3077361174719964,0.5057488721762547,0.8019872452957416,,3.178103166166693,61,,random,Random search,oracle
9,20350179,60,,0.957973496556538,0.8279826919227831,0.1299908046337549,,3.076290374621749,61,,random,Random search,oracle
