model,iteration,repeat_count,carried_forward_count,motor_distance_mean,motor_distance_std
gpt_5_6_sol,0,10,0,2768.011159009592,781.4585533890221
gpt_5_6_sol,1,10,0,2584.628786962069,1278.5797387930877
gpt_5_6_sol,2,10,0,2829.6578422623415,1560.8516178758994
gpt_5_6_sol,3,10,0,2974.896306840123,1357.3616006998434
gpt_5_6_sol,4,10,0,2552.123716920408,1569.362939940338
gpt_5_6_sol,5,10,0,1558.5145271476463,654.8994568038239
gpt_5_6_sol,6,10,0,1792.9825061510687,899.3437314917975
gpt_5_6_sol,7,10,0,1777.6389201695263,1090.3115607214295
gpt_5_6_sol,8,10,0,1867.3386580646675,998.2762009791608
gpt_5_6_sol,9,10,0,1077.1566724530662,747.4068526057558
gpt_5_6_sol,10,10,0,1284.6694779940794,892.7461579682839
gpt_5_6_sol,11,10,1,907.3989132735326,937.3731097475495
gpt_5_6_sol,12,10,2,824.2964098479406,809.8132354725008
gpt_5_6_sol,13,10,3,928.849950850351,1032.4943200302741
gpt_5_6_sol,14,10,4,660.6840832220444,636.4786303273545
gpt_5_6_sol,15,10,6,663.9150644136143,721.231036526874
gpt_5_6_sol,16,10,6,421.4141267454258,540.832828740792
gpt_5_6_sol,17,10,8,265.8069709024559,246.95243406071575
gpt_5_6_sol,18,10,9,265.8069709024559,246.95243406071575
gpt_5_6_sol,19,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,20,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,21,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,22,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,23,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,24,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,25,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,26,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,27,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,28,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,29,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,30,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,31,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,32,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,33,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,34,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,35,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,36,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,37,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,38,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,39,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,40,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,41,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,42,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,43,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,44,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,45,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,46,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,47,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,48,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,49,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,50,10,10,265.8069709024559,246.95243406071575
gpt_5_6_sol,51,10,10,265.8069709024559,246.95243406071575
gemini_3_5_flash,0,10,0,2768.011159009592,781.4585533890221
gemini_3_5_flash,1,10,0,4574.412398719339,2027.3810984296379
gemini_3_5_flash,2,10,0,6078.724429571525,2815.316206698702
gemini_3_5_flash,3,10,0,4100.002444863753,2139.178308528573
gemini_3_5_flash,4,10,0,4217.07646436323,2539.3550348494496
gemini_3_5_flash,5,10,0,4016.909462618827,3141.2619313339883
gemini_3_5_flash,6,10,0,3665.9271997704236,3195.0853346252097
gemini_3_5_flash,7,10,0,2840.1540595713846,3372.3190863097598
gemini_3_5_flash,8,10,0,3445.3018867718433,3308.761501932974
gemini_3_5_flash,9,10,1,2757.944005732642,3161.172138664775
gemini_3_5_flash,10,10,2,2808.7966999508108,3225.9562920414146
gemini_3_5_flash,11,10,4,2411.669419340502,3395.2005523840144
gemini_3_5_flash,12,10,6,1849.6293144379367,3514.4863539944445
gemini_3_5_flash,13,10,8,1801.422335219783,3485.0906365021247
gemini_3_5_flash,14,10,9,1791.8968706418636,3485.3437746885006
gemini_3_5_flash,15,10,9,1648.7756984874188,3520.312832701934
gemini_3_5_flash,16,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,17,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,18,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,19,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,20,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,21,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,22,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,23,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,24,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,25,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,26,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,27,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,28,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,29,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,30,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,31,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,32,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,33,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,34,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,35,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,36,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,37,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,38,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,39,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,40,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,41,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,42,10,10,1648.7756984874188,3520.312832701934
gemini_3_5_flash,43,10,10,1648.7756984874188,3520.312832701934
