iteration,repeat_count,carried_forward_count,motor_step_error_mean,motor_step_error_std,method_key,method_label,method_kind
0,10,0,2768.011159009592,781.4585533890221,gpt_5_6_sol,GPT-5.6 SOL,llm
1,10,0,2466.8666996413403,1191.2477987390828,gpt_5_6_sol,GPT-5.6 SOL,llm
2,10,0,2030.023802925461,1059.9260244396773,gpt_5_6_sol,GPT-5.6 SOL,llm
3,10,0,2715.991678392007,964.5555700283063,gpt_5_6_sol,GPT-5.6 SOL,llm
4,10,0,1846.0878250555488,728.5459202957875,gpt_5_6_sol,GPT-5.6 SOL,llm
5,10,0,1316.4493029705695,994.8851037561528,gpt_5_6_sol,GPT-5.6 SOL,llm
6,10,0,1109.9210245031547,655.096955814657,gpt_5_6_sol,GPT-5.6 SOL,llm
7,10,0,1238.9627360713953,640.075376313414,gpt_5_6_sol,GPT-5.6 SOL,llm
8,10,0,1139.4982191679667,489.1521105307662,gpt_5_6_sol,GPT-5.6 SOL,llm
9,10,0,1076.451386208489,314.0619421031157,gpt_5_6_sol,GPT-5.6 SOL,llm
10,10,0,439.2057072001081,489.9522048831259,gpt_5_6_sol,GPT-5.6 SOL,llm
11,10,7,247.32212569212956,307.19748650434127,gpt_5_6_sol,GPT-5.6 SOL,llm
12,10,9,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
13,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
14,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
15,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
16,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
17,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
18,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
19,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
20,10,10,146.74286756022184,66.06420126751436,gpt_5_6_sol,GPT-5.6 SOL,llm
